run_name,category,t_label,m_label,lf_label,mp_label,oc_label,seed_label,val_selection_score,val_auroc,val_auprc,val_best_f1,val_best_threshold,val_fpr_at_95_tpr,test_auroc,test_auprc,test_best_f1,test_f1_at_val_threshold,test_fpr_at_95_tpr
bottle_t0x_m0x_lf1b_mp1a_oc0_s43,bottle,t0x,m0x,lf1b,mp1a,oc0,s43,1.0,1.0,1.0,1.0,0.371775,0.0,0.9844,0.9953,0.9687,0.9153,0.1
bottle_t0x_m0x_lf1b_mp1a_oc0_s44,bottle,t0x,m0x,lf1b,mp1a,oc0,s44,0.984,0.9839,0.995,0.9677,0.598473,0.1,0.9094,0.9738,0.9206,0.9,0.8
bottle_t0x_m0x_lf1b_mp1a_oc0_s45,bottle,t0x,m0x,lf1b,mp1a,oc0,s45,1.0,1.0,1.0,1.0,0.539701,0.0,0.95,0.986,0.9333,0.9206,0.4
bottle_t0x_m0x_lf1b_mp1a_oc0_s46,bottle,t0x,m0x,lf1b,mp1a,oc0,s46,1.0,1.0,1.0,1.0,0.67596,0.0,0.9187,0.9792,0.9333,0.9333,1.0
bottle_t0x_m0x_lf1b_mp1b_oc0_s43,bottle,t0x,m0x,lf1b,mp1b,oc0,s43,1.0,1.0,1.0,1.0,0.639986,0.0,0.9281,0.9788,0.9206,0.9032,0.5
bottle_t0x_m0x_lf1b_mp1b_oc0_s44,bottle,t0x,m0x,lf1b,mp1b,oc0,s44,0.9752,0.9742,0.9922,0.9524,0.447036,0.2,0.9125,0.9771,0.9206,0.9032,0.8
bottle_t0x_m0x_lf1b_mp1b_oc0_s45,bottle,t0x,m0x,lf1b,mp1b,oc0,s45,1.0,1.0,1.0,1.0,0.49887,0.0,0.9156,0.9746,0.9231,0.8148,0.7
bottle_t0x_m0x_lf1b_mp1b_oc0_s46,bottle,t0x,m0x,lf1b,mp1b,oc0,s46,0.9733,0.971,0.9911,0.9524,0.585883,0.2,0.9125,0.9768,0.9206,0.8852,0.8
bottle_t0x_m0x_lf1b_mp1c_oc0_s43,bottle,t0x,m0x,lf1b,mp1c,oc0,s43,1.0,1.0,1.0,1.0,0.708286,0.0,0.9312,0.9813,0.9206,0.918,0.6
bottle_t0x_m0x_lf1b_mp1c_oc0_s44,bottle,t0x,m0x,lf1b,mp1c,oc0,s44,0.9949,0.9968,0.999,0.9841,0.496808,0.0,0.8953,0.941,0.9394,0.8814,0.3
bottle_t0x_m0x_lf1b_mp1c_oc0_s45,bottle,t0x,m0x,lf1b,mp1c,oc0,s45,1.0,1.0,1.0,1.0,0.634308,0.0,0.9438,0.9854,0.9508,0.9333,0.8
bottle_t0x_m0x_lf1b_mp1c_oc0_s46,bottle,t0x,m0x,lf1b,mp1c,oc0,s46,1.0,1.0,1.0,1.0,0.618042,0.0,0.9625,0.9901,0.9687,0.918,0.1
bottle_t0x_m0x_lf1c_mp1a_oc0_s43,bottle,t0x,m0x,lf1c,mp1a,oc0,s43,1.0,1.0,1.0,1.0,0.727753,0.0,0.9312,0.9821,0.9508,0.8772,0.7
bottle_t0x_m0x_lf1c_mp1a_oc0_s44,bottle,t0x,m0x,lf1c,mp1a,oc0,s44,1.0,1.0,1.0,1.0,0.782144,0.0,0.8531,0.9619,0.8852,0.8814,1.0
bottle_t0x_m0x_lf1c_mp1a_oc0_s45,bottle,t0x,m0x,lf1c,mp1a,oc0,s45,1.0,1.0,1.0,1.0,0.607834,0.0,0.95,0.9854,0.9355,0.918,0.5
bottle_t0x_m0x_lf1c_mp1a_oc0_s46,bottle,t0x,m0x,lf1c,mp1a,oc0,s46,1.0,1.0,1.0,1.0,0.652459,0.0,0.8969,0.9714,0.9091,0.8955,0.9
bottle_t0x_m0x_lf1c_mp1b_oc0_s43,bottle,t0x,m0x,lf1c,mp1b,oc0,s43,1.0,1.0,1.0,1.0,0.516684,0.0,0.9156,0.9753,0.9275,0.8364,0.5
bottle_t0x_m0x_lf1c_mp1b_oc0_s44,bottle,t0x,m0x,lf1c,mp1b,oc0,s44,0.9812,0.9742,0.9909,0.9841,0.374596,0.1,0.8969,0.97,0.9206,0.7547,0.9
bottle_t0x_m0x_lf1c_mp1b_oc0_s45,bottle,t0x,m0x,lf1c,mp1b,oc0,s45,1.0,1.0,1.0,1.0,0.753498,0.0,0.9281,0.9814,0.9355,0.918,0.8
bottle_t0x_m0x_lf1c_mp1b_oc0_s46,bottle,t0x,m0x,lf1c,mp1b,oc0,s46,0.973,0.9613,0.9851,0.9841,0.406316,0.1,0.9094,0.9753,0.9153,0.8364,0.7
bottle_t0x_m0x_lf1c_mp1c_oc0_s43,bottle,t0x,m0x,lf1c,mp1c,oc0,s43,1.0,1.0,1.0,1.0,0.575733,0.0,0.9187,0.9769,0.9254,0.8148,0.4
bottle_t0x_m0x_lf1c_mp1c_oc0_s44,bottle,t0x,m0x,lf1c,mp1c,oc0,s44,1.0,1.0,1.0,1.0,0.367141,0.0,0.9437,0.9846,0.9394,0.8814,0.3
bottle_t0x_m0x_lf1c_mp1c_oc0_s45,bottle,t0x,m0x,lf1c,mp1c,oc0,s45,1.0,1.0,1.0,1.0,0.553334,0.0,0.8,0.9341,0.8852,0.7059,1.0
bottle_t0x_m0x_lf1c_mp1c_oc0_s46,bottle,t0x,m0x,lf1c,mp1c,oc0,s46,1.0,1.0,1.0,1.0,0.849141,0.0,0.9219,0.9798,0.9333,0.918,0.9
bottle_t0x_m0x_lf1d_mp1a_oc0_s43,bottle,t0x,m0x,lf1d,mp1a,oc0,s43,1.0,1.0,1.0,1.0,0.724138,0.0,0.8594,0.9612,0.8852,0.8276,0.8
bottle_t0x_m0x_lf1d_mp1a_oc0_s44,bottle,t0x,m0x,lf1d,mp1a,oc0,s44,1.0,1.0,1.0,1.0,0.656833,0.0,0.9094,0.9746,0.9091,0.8966,0.8
bottle_t0x_m0x_lf1d_mp1a_oc0_s45,bottle,t0x,m0x,lf1d,mp1a,oc0,s45,1.0,1.0,1.0,1.0,0.770887,0.0,0.8906,0.9691,0.9032,0.9032,0.8
bottle_t0x_m0x_lf1d_mp1a_oc0_s46,bottle,t0x,m0x,lf1d,mp1a,oc0,s46,1.0,1.0,1.0,1.0,0.538265,0.0,0.8719,0.9603,0.9091,0.8525,0.8
bottle_t0x_m0x_lf1d_mp1b_oc0_s43,bottle,t0x,m0x,lf1d,mp1b,oc0,s43,1.0,1.0,1.0,1.0,0.728442,0.0,0.8844,0.9609,0.9206,0.918,0.6
bottle_t0x_m0x_lf1d_mp1b_oc0_s44,bottle,t0x,m0x,lf1d,mp1b,oc0,s44,0.9832,0.9774,0.9922,0.9841,0.43746,0.1,0.9,0.9718,0.9062,0.871,0.8
bottle_t0x_m0x_lf1d_mp1b_oc0_s45,bottle,t0x,m0x,lf1d,mp1b,oc0,s45,1.0,1.0,1.0,1.0,0.634239,0.0,0.8969,0.9689,0.9254,0.8421,0.4
bottle_t0x_m0x_lf1d_mp1b_oc0_s46,bottle,t0x,m0x,lf1d,mp1b,oc0,s46,1.0,1.0,1.0,1.0,0.842171,0.0,0.7281,0.9018,0.8767,0.8406,0.9
bottle_t0x_m0x_lf1d_mp1c_oc0_s43,bottle,t0x,m0x,lf1d,mp1c,oc0,s43,1.0,1.0,1.0,1.0,0.755854,0.0,0.8531,0.9563,0.8857,0.8475,0.7
bottle_t0x_m0x_lf1d_mp1c_oc0_s44,bottle,t0x,m0x,lf1d,mp1c,oc0,s44,1.0,1.0,1.0,1.0,0.872565,0.0,1.0,1.0,1.0,1.0,0.0
bottle_t0x_m0x_lf1d_mp1c_oc0_s45,bottle,t0x,m0x,lf1d,mp1c,oc0,s45,1.0,1.0,1.0,1.0,0.691442,0.0,0.9063,0.9749,0.918,0.8364,0.9
bottle_t0x_m0x_lf1d_mp1c_oc0_s46,bottle,t0x,m0x,lf1d,mp1c,oc0,s46,1.0,1.0,1.0,1.0,0.65849,0.0,0.9156,0.9775,0.9355,0.918,0.8
bottle_t0x_m0x_lf1g_mp1a_oc0_s43,bottle,t0x,m0x,lf1g,mp1a,oc0,s43,1.0,1.0,1.0,1.0,0.500775,0.0,0.9437,0.9849,0.9355,0.8772,0.5
bottle_t0x_m0x_lf1g_mp1a_oc0_s44,bottle,t0x,m0x,lf1g,mp1a,oc0,s44,1.0,1.0,1.0,1.0,0.855058,0.0,0.925,0.9793,0.918,0.918,0.7
bottle_t0x_m0x_lf1g_mp1a_oc0_s45,bottle,t0x,m0x,lf1g,mp1a,oc0,s45,1.0,1.0,1.0,1.0,0.815125,0.0,0.8563,0.9592,0.875,0.8571,0.8
bottle_t0x_m0x_lf1g_mp1a_oc0_s46,bottle,t0x,m0x,lf1g,mp1a,oc0,s46,1.0,1.0,1.0,1.0,0.492354,0.0,0.8688,0.963,0.8923,0.8814,0.9
