run_name,category,seed,val_selection_score,val_auroc,val_auprc,val_best_f1,val_best_threshold,val_fpr_at_95_tpr,test_auroc,test_auprc,test_best_f1,test_f1_at_val_threshold,test_fpr_at_95_tpr
bottle_final_s43,bottle,43,1.0,1.0,1.0,1.0,0.778919,0.0,0.8375,0.9554,0.8649,0.8214,1.0
bottle_final_s44,bottle,44,0.9861,0.9871,0.9959,0.9687,0.302108,0.1,0.8031,0.9372,0.8857,0.7931,0.7
bottle_final_s45,bottle,45,1.0,1.0,1.0,1.0,0.862684,0.0,0.9219,0.9783,0.9153,0.8966,0.6
cable_final_s43,cable,43,0.7298,0.6814,0.7732,0.7857,0.462771,0.7586,0.557,0.7269,0.7603,0.7273,1.0
cable_final_s44,cable,44,0.8167,0.7894,0.8734,0.8,0.473883,0.8276,0.503,0.6667,0.7603,0.7018,1.0
cable_final_s45,cable,45,0.7262,0.6754,0.7708,0.7863,0.378167,0.7586,0.4948,0.6628,0.7603,0.6729,1.0
cable_final_s46,cable,46,0.7875,0.7451,0.8522,0.7965,0.398826,0.7586,0.5112,0.6774,0.7603,0.6735,1.0
cable_final_s47,cable,47,0.8111,0.7864,0.8495,0.8155,0.496115,0.6207,0.5495,0.7039,0.7603,0.7069,1.0
capsule_final_s43,capsule,43,0.9129,0.867,0.9678,0.9455,0.72188,0.3636,0.8273,0.9442,0.9381,0.9153,0.4167
capsule_final_s44,capsule,44,0.8014,0.6953,0.8919,0.931,0.652332,0.7273,0.7455,0.9349,0.9153,0.9016,0.75
capsule_final_s45,capsule,45,0.8712,0.7997,0.9397,0.9474,0.598908,0.4545,0.7788,0.923,0.9204,0.9153,0.6667
carpet_final_s43,carpet,43,0.9642,0.961,0.9881,0.9362,0.216439,0.2857,0.9286,0.9758,0.9278,0.9184,0.3571
carpet_final_s44,carpet,44,0.967,0.9594,0.9866,0.9565,0.333411,0.2143,0.9349,0.9811,0.9263,0.9247,0.3571
carpet_final_s45,carpet,45,0.9621,0.9545,0.9852,0.9462,0.280352,0.2143,0.9079,0.9551,0.9451,0.9263,0.2143
grid_final_s43,grid,43,1.0,1.0,1.0,1.0,0.660309,0.0,0.9404,0.9763,0.9508,0.8966,0.2727
grid_final_s44,grid,44,1.0,1.0,1.0,1.0,0.44256,0.0,0.9122,0.9461,0.9508,0.9333,0.1818
grid_final_s45,grid,45,0.9943,0.9964,0.9988,0.9825,0.371942,0.0,0.9655,0.9876,0.9355,0.9333,0.2727
hazelnut_final_s43,hazelnut,43,0.9867,0.9886,0.9939,0.9714,0.457158,0.05,0.9829,0.9911,0.9552,0.9143,0.15
hazelnut_final_s44,hazelnut,44,1.0,1.0,1.0,1.0,0.506682,0.0,0.9857,0.9937,0.9855,0.9855,0.0
hazelnut_final_s45,hazelnut,45,0.9962,0.9986,0.9992,0.9859,0.430816,0.0,0.9986,0.9992,0.9859,0.9714,0.0
leather_final_s43,leather,43,0.9678,0.9647,0.9888,0.9438,0.566417,0.25,0.8981,0.9645,0.9,0.8842,0.5625
leather_final_s44,leather,44,0.9766,0.9755,0.9922,0.9556,0.593865,0.3125,0.8804,0.9595,0.8911,0.8762,0.5625
leather_final_s45,leather,45,0.9611,0.9565,0.9855,0.9362,0.474652,0.25,0.9144,0.9703,0.9111,0.8932,0.5
metal_nut_final_s43,metal_nut,43,0.9448,0.919,0.9793,0.9574,0.58961,0.2727,0.619,0.8965,0.8952,0.7826,1.0
metal_nut_final_s44,metal_nut,44,0.9324,0.9071,0.9785,0.9263,0.573249,0.4545,0.5861,0.884,0.8952,0.7742,1.0
