run_name,category,t_label,m_label,lf_label,oc_label,seed_label,val_selection_score,val_auroc,val_auprc,val_best_f1,val_best_threshold,val_fpr_at_95_tpr,test_auroc,test_auprc,test_best_f1,test_f1_at_val_threshold,test_fpr_at_95_tpr
bottle_t1a_m1a_lf1b_oc0_s43,bottle,t1a,m1a,lf1b,oc0,s43,1.0,1.0,1.0,1.0,0.573514,0.0,0.8719,0.9671,0.9032,0.8814,1.0
bottle_t1a_m1a_lf1c_oc0_s43,bottle,t1a,m1a,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.745034,0.0,0.925,0.9793,0.9231,0.8966,0.6
bottle_t1a_m1a_lf1d_oc0_s43,bottle,t1a,m1a,lf1d,oc0,s43,1.0,1.0,1.0,1.0,0.324033,0.0,0.8594,0.9559,0.9014,0.8667,0.7
bottle_t1a_m1a_lf1e_oc0_s43,bottle,t1a,m1a,lf1e,oc0,s43,1.0,1.0,1.0,1.0,0.912109,0.0,0.8906,0.9699,0.8966,0.8571,0.8
bottle_t1a_m1b_lf1b_oc0_s43,bottle,t1a,m1b,lf1b,oc0,s43,1.0,1.0,1.0,1.0,0.452861,0.0,0.9125,0.9752,0.9355,0.8621,0.7
bottle_t1a_m1b_lf1c_oc0_s43,bottle,t1a,m1b,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.448195,0.0,0.8687,0.9645,0.9032,0.8852,1.0
bottle_t1a_m1b_lf1d_oc0_s43,bottle,t1a,m1b,lf1d,oc0,s43,1.0,1.0,1.0,1.0,0.759697,0.0,0.9312,0.9811,0.9231,0.9032,0.7
bottle_t1a_m1b_lf1e_oc0_s43,bottle,t1a,m1b,lf1e,oc0,s43,1.0,1.0,1.0,1.0,0.660704,0.0,0.9719,0.9924,0.9687,0.9508,0.1
bottle_t1a_m1c_lf1b_oc0_s43,bottle,t1a,m1c,lf1b,oc0,s43,1.0,1.0,1.0,1.0,0.568955,0.0,0.9063,0.9745,0.9206,0.8814,0.9
bottle_t1a_m1c_lf1c_oc0_s43,bottle,t1a,m1c,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.727299,0.0,0.9062,0.9771,0.9508,0.9333,1.0
bottle_t1a_m1c_lf1d_oc0_s43,bottle,t1a,m1c,lf1d,oc0,s43,1.0,1.0,1.0,1.0,0.396989,0.0,0.925,0.9787,0.918,0.8571,0.5
bottle_t1a_m1c_lf1e_oc0_s43,bottle,t1a,m1c,lf1e,oc0,s43,1.0,1.0,1.0,1.0,0.71961,0.0,0.9844,0.9958,0.9841,0.9508,0.0
bottle_t1a_m1d_lf1b_oc0_s43,bottle,t1a,m1d,lf1b,oc0,s43,0.993,0.9935,0.998,0.9841,0.675862,0.1,0.9031,0.9737,0.9062,0.9032,0.9
bottle_t1a_m1d_lf1c_oc0_s43,bottle,t1a,m1d,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.464806,0.0,0.875,0.965,0.8889,0.8667,0.8
bottle_t1a_m1d_lf1d_oc0_s43,bottle,t1a,m1d,lf1d,oc0,s43,1.0,1.0,1.0,1.0,0.560148,0.0,0.8937,0.9714,0.8966,0.8772,0.9
bottle_t1a_m1d_lf1e_oc0_s43,bottle,t1a,m1d,lf1e,oc0,s43,1.0,1.0,1.0,1.0,0.875608,0.0,0.9688,0.9902,0.9697,0.8364,0.2
bottle_t1a_m1e_lf1b_oc0_s43,bottle,t1a,m1e,lf1b,oc0,s43,1.0,1.0,1.0,1.0,0.542205,0.0,0.8875,0.968,0.9032,0.8364,0.6
bottle_t1a_m1e_lf1c_oc0_s43,bottle,t1a,m1e,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.643255,0.0,0.9219,0.9743,0.9275,0.9032,0.5
bottle_t1a_m1e_lf1d_oc0_s43,bottle,t1a,m1e,lf1d,oc0,s43,1.0,1.0,1.0,1.0,0.674143,0.0,0.7906,0.899,0.8824,0.8333,1.0
bottle_t1a_m1e_lf1e_oc0_s43,bottle,t1a,m1e,lf1e,oc0,s43,1.0,1.0,1.0,1.0,0.745401,0.0,0.8687,0.9585,0.9091,0.871,0.9
bottle_t1b_m1a_lf1b_oc0_s43,bottle,t1b,m1a,lf1b,oc0,s43,0.9929,0.9935,0.998,0.9836,0.602588,0.0,0.925,0.9801,0.9355,0.8772,0.7
bottle_t1b_m1a_lf1c_oc0_s43,bottle,t1b,m1a,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.760687,0.0,0.9531,0.9849,0.9552,0.8621,0.2
bottle_t1b_m1a_lf1d_oc0_s43,bottle,t1b,m1a,lf1d,oc0,s43,1.0,1.0,1.0,1.0,0.716983,0.0,0.9094,0.9731,0.9231,0.9,0.7
bottle_t1b_m1a_lf1e_oc0_s43,bottle,t1b,m1a,lf1e,oc0,s43,1.0,1.0,1.0,1.0,0.849095,0.0,0.7875,0.8876,0.8852,0.8475,0.9
bottle_t1b_m1b_lf1b_oc0_s43,bottle,t1b,m1b,lf1b,oc0,s43,1.0,1.0,1.0,1.0,0.610578,0.0,0.9031,0.9729,0.918,0.8621,0.7
bottle_t1b_m1b_lf1c_oc0_s43,bottle,t1b,m1b,lf1c,oc0,s43,1.0,1.0,1.0,1.0,0.408803,0.0,0.9125,0.9769,0.9333,0.875,0.7
